Date,SMA_Diff,SP_Diff,Mov
9/9/2014,4.54363987,7.25,U
10/9/2014,4.5908799,1.760009766,D
11/9/2014,4.6285199,-11.90991211,D
12/9/2014,4.60763988,-1.41003418,D
15/9/2014,4.42769981,14.84997559,U
16/9/2014,4.28337986,2.58996582,U
17/9/2014,4.16033981,9.790039063,U
18/9/2014,4.07839988,-0.959960938,D
19/9/2014,3.9687598,-16.10998535,D
22/9/2014,3.77365986,-11.52001953,U
23/9/2014,3.55741997,15.5300293,U
24/9/2014,3.33118004,-32.31005859,D
25/9/2014,3.04901993,16.85998535,D
26/9/2014,2.75161999,-5.049926758,D
29/9/2014,2.40626004,-5.510009766,D
30/9/2014,1.90329998,-26.13000488,D
1/10/2014,1.41116005,0.010009766,U
2/10/2014,0.94924008,21.72998047,U
3/10/2014,0.60076005,-3.080078125,U
6/10/2014,0.23766003,-29.7199707,D
7/10/2014,-0.09043988,33.79003906,D
8/10/2014,-0.44571999,-40.68005371,D
9/10/2014,-0.79107998,-22.07995605,D
10/10/2014,-1.26841999,-31.39001465,D
13/10/2014,-1.52639999,2.959960938,U
14/10/2014,-1.81736,-15.20996094,U
15/10/2014,-2.09900005,0.270019531,D
16/10/2014,-2.38338005,24,U
17/10/2014,-2.60214001,17.25,U
20/10/2014,-2.72709999,37.27001953,U
21/10/2014,-2.78188003,-14.17004395,D
22/10/2014,-2.87684005,23.70996094,U
23/10/2014,-2.89336006,13.76000977,D
24/10/2014,-2.90240002,-2.949951172,D
27/10/2014,-2.97693992,23.42004395,U
28/10/2014,-2.90735988,-2.75,D
29/10/2014,-2.85411992,12.34997559,U
30/10/2014,-2.91352001,23.40002441,U
31/10/2014,-2.99806,-0.239990234,U
3/11/2014,-3.1216,-5.710083008,D
4/11/2014,-3.23352012,11.4699707,D
5/11/2014,-3.39354008,7.640014648,U
6/11/2014,-3.46332008,0.710083008,D
7/11/2014,-3.33578007,6.33996582,U
10/11/2014,-3.05130002,1.420043945,U
11/11/2014,-2.67893993,-1.430053711,D
12/11/2014,-2.3565799,1.079956055,U
13/11/2014,-1.96571991,0.489990234,U
14/11/2014,-1.57887981,1.5,D
17/11/2014,-1.23125984,10.48010254,U
18/11/2014,-0.92453987,-3.080078125,D
19/11/2014,-0.6246999,4.030029297,U
20/11/2014,-0.36409981,10.75,D
21/11/2014,-0.14301983,5.909912109,U
24/11/2014,0.13604023,-2.379882813,U
25/11/2014,0.23984017,5.800048828,U
26/11/2014,0.39500023,-5.270019531,D
28/11/2014,0.53080028,-14.12011719,D
1/12/2014,0.54092022,13.11010742,D
2/12/2014,0.50372013,7.780029297,D
3/12/2014,0.4918602,-2.41015625,D
4/12/2014,0.56040016,3.450195313,D
5/12/2014,0.4782602,-15.06005859,D
8/12/2014,0.34882019,-0.489990234,U
9/12/2014,0.21190002,-33.68005371,D
